시군명,총 인구수,총 동물수,업체수
가평군,62168,4017,22
고양시,1079277,73477,59
과천시,78301,2974,1
광명시,290756,20161,16
광주시,388893,29042,34
구리시,191011,12381,19
군포시,267493,15480,13
김포시,485609,7912,44
남양주시,734642,42957,55
동두천시,93260,6998,9
부천시,801503,113892,66
성남시,928267,55728,118
수원시,1188234,65330,109
시흥시,512721,30539,38
안산시,650708,86158,39
안성시,189772,19950,31
안양시,549724,35644,48
양주시,236142,54805,21
양평군,121789,13291,15
여주시,112410,5252,12
연천군,42731,2020,7
오산시,230028,14471,15
용인시,1075877,50227,110
의왕시,162137,6590,14
의정부시,464358,58997,33
이천시,222722,13147,33
파주시,486515,24057,42
평택시,569369,60468,53
포천시,148469,11168,22
하남시,323558,17634,30
화성시,892038,48264,82
